STANDARD_VALUE,ALogP,ALogp2,AMR,nHBAcc,nHBAcc2,nHBAcc3,nHBAcc_Lipinski,nHBDon,nHBDon_Lipinski,MW,AMW
30199.52,1.1783,1.38839089,129.6813,4,4,3,4,2,2,442.3559287,5.671229855
15848.93,1.7219,2.96493961,131.2215,4,4,3,4,2,2,442.3559287,5.671229855
70794.58,0.5736,0.32901696,116.7011,3,3,2,3,0,0,402.3610141,5.364813521
6456.54,0.3925,0.15405625,106.9324,3,3,2,3,1,1,374.329714,5.425068318
6456.54,1.9441,3.77952481,140.07,3,3,2,3,0,0,470.4236143,5.34572289
7762.47,2.0741,4.30189081,130.4281,3,3,2,3,1,1,424.345364,5.657938187
39810.72,1.2503,1.56325009,115.101,2,2,2,2,0,0,372.3504494,5.244372527
5248.07,0.7216,0.52070656,110.519,4,4,3,4,1,1,462.3246286,6.083218797
42657.95,0.9807,0.96177249,108.1254,2,2,2,2,0,0,359.3188149,5.362967387
13803.84,2.0753,4.30687009,130.8521,4,4,3,4,1,1,440.3402786,5.793951035
19498.45,0.9248,0.85525504,121.5202,3,3,2,3,0,0,490.3923142,5.702236212
19952.62,0.5099,0.25999801,119.3722,3,3,2,3,0,0,400.345364,5.484183069
229086.77,-0.1485,0.02205225,119.2931,6,6,5,6,2,2,524.361408,6.097225675
48977.88,0.291,0.084681,110.5821,3,3,2,3,0,0,371.2824294,5.80128796
6165.95,2.0736,4.29981696,142.3275,3,3,2,3,0,0,468.4079643,5.446604236
33113.11,0.9556,0.91317136,132.7322,5,5,4,5,3,3,458.3508433,5.801909409
5754.4,1.448,2.096704,131.2472,4,4,3,4,1,1,438.3246286,5.923305792
6165.95,0.7781,0.60543961,107.1352,2,2,2,2,1,1,360.3504494,5.147863563
1.07,-1.8519,3.42953361,85.0291,6,8,7,8,4,4,635.2186989,7.940233736
1.52,-2.1399,4.57917201,87.9407,6,8,7,8,4,4,649.2343489,7.82210059
3.18,-2.4279,5.89469841,90.8523,6,8,7,8,4,4,663.249999,7.712209291
4.36,-2.7159,7.37611281,93.7639,6,8,7,8,4,4,677.2656491,7.609726394
3.6,-3.0039,9.02341521,96.6755,6,8,7,8,4,4,691.2812991,7.513927164
2930,-3.0039,9.02341521,96.6755,6,8,7,8,4,4,691.2812991,7.513927164
2.39,-3.0039,9.02341521,96.6755,6,8,7,8,4,4,691.2812991,7.513927164
7.61,-3.2919,10.83660561,99.5871,6,8,7,8,4,4,705.2969492,7.424178413
17.4,-3.5799,12.81568401,102.4987,6,8,7,8,4,4,719.3125993,7.339924482
18.2,-0.9879,0.97594641,76.2943,6,8,7,8,4,4,669.2030488,8.261766035
0.74,0.7424,0.55115776,44.5293,2,2,2,2,1,2,284.1080262,7.678595303
20000,0.2234,0.04990756,87.1152,5,5,3,5,0,0,413.1636825,7.377922902
6000,-0.5122,0.26234884,47.1776,4,2,2,4,2,2,343.1684623,7.301456645
70000,-0.5954,0.35450116,50.7856,4,4,4,5,0,0,450.1943427,7.503239045
